Date,Open,High,Low,Close,Adj Close,Volume
8/1/2017,145,145.669998,144.720001,145.300003,139.422287,3219500
8/2/2017,145.119995,145.289993,144.220001,144.449997,138.606674,3540900
8/3/2017,144.429993,145.339996,144.429993,144.940002,139.076843,3035400
8/4/2017,145,145.389999,144.399994,145.160004,139.287964,2549400
8/7/2017,145,145.089996,142.75,143.470001,137.666321,4618300
8/8/2017,142,142.759995,142,142.110001,137.802078,3298700
8/9/2017,141.75,142.029999,141.190002,141.770004,137.472382,2925800
8/10/2017,141.639999,142.419998,141.229996,141.839996,137.540253,4525400
8/11/2017,142.449997,142.589996,141.520004,141.839996,137.540253,3004000
8/14/2017,142,142.759995,141.940002,142.320007,138.005707,2222300
8/15/2017,142.550003,143.339996,140.580002,142.070007,137.76329,4681500
8/16/2017,141.789993,142.910004,141.610001,142.5,138.180252,3287800
8/17/2017,142.520004,142.889999,140.699997,140.699997,136.434799,4422100
8/18/2017,140.869995,141.149994,139.580002,139.699997,135.465134,4152700
8/21/2017,139.589996,140.419998,139.130005,140.330002,136.076035,3190700
8/22/2017,140.639999,141.149994,140.380005,141.009995,136.735413,2544400
8/23/2017,140.699997,143.050003,140.679993,142.139999,137.831161,4048300
8/24/2017,142.5,143.679993,142.25,142.940002,138.606918,3592200
8/25/2017,143.300003,144.190002,143.25,143.740005,139.38266,2872900
8/28/2017,144.110001,144.559998,142.389999,142.509995,138.189941,5134500
8/29/2017,142.100006,143.429993,141.899994,143.139999,138.800842,3009500
8/30/2017,143.259995,143.279999,142.410004,142.559998,138.238419,2736000
8/31/2017,143.020004,143.660004,142.630005,143.029999,138.694183,3656400
9/1/2017,142.979996,144.5,142.979996,144.080002,139.712357,3351700
9/5/2017,143.5,144.360001,142.699997,143.039993,138.703873,3097500
9/6/2017,143.880005,144.470001,143.5,143.820007,139.460251,3273300
9/7/2017,144.100006,144.639999,142.410004,142.899994,138.568115,4188200
9/8/2017,143.149994,143.149994,141.639999,142.449997,138.13176,3366200
9/11/2017,143.539993,145.130005,143.009995,144.860001,140.468704,4613400
9/12/2017,145.110001,146.369995,144.509995,145.759995,141.341415,5238100
9/13/2017,145.350006,146.289993,145.339996,145.990005,141.564453,4101000
9/14/2017,145.860001,146.380005,145.509995,145.539993,141.128082,3756900
9/15/2017,144.820007,145.169998,144.080002,144.820007,140.429916,7397200
9/18/2017,144.809998,145.479996,144.270004,144.550003,140.168106,3019500
