Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,145.210007,146.059998,144.320007,145.710007,145.710007,2882200
2018-08-21,146.410004,148.789993,145.360001,145.529999,145.529999,4063700
2018-08-22,145.589996,147.199997,145.050003,146.460007,146.460007,4245300
2018-08-23,146.830002,148.339996,146.070007,147.830002,147.830002,6196300
2018-08-24,148.500000,152.380005,148.500000,152.300003,152.300003,4882000
2018-08-27,154.710007,154.880005,150.199997,151.679993,151.679993,5814800
2018-08-28,152.029999,153.399994,151.559998,152.990005,152.990005,5266900
2018-08-29,153.330002,154.970001,153.050003,154.800003,154.800003,9018600
2018-08-30,151.119995,153.740005,149.500000,152.139999,152.139999,14441000
2018-08-31,152.139999,153.869995,151.899994,152.679993,152.679993,6210500
2018-09-04,152.110001,153.339996,151.509995,153.210007,153.210007,5310900
2018-09-05,152.389999,152.779999,147.080002,148.649994,148.649994,7287400
2018-09-06,148.750000,149.160004,147.080002,148.830002,148.830002,4190300
2018-09-07,147.839996,151.410004,147.500000,150.429993,150.429993,3866800
2018-09-10,150.000000,151.580002,148.000000,151.320007,151.320007,3872300
2018-09-11,151.080002,153.750000,150.619995,152.839996,152.839996,4151000
2018-09-12,152.839996,155.770004,151.809998,155.369995,155.369995,5180800
2018-09-13,155.869995,158.779999,155.820007,158.179993,158.179993,6213500
2018-09-14,157.949997,158.789993,156.320007,157.490005,157.490005,4615300
2018-09-17,157.000000,158.429993,154.619995,154.919998,154.919998,3899600
2018-09-18,154.759995,158.029999,154.750000,156.000000,156.000000,3749600
2018-09-19,156.369995,157.330002,152.389999,152.899994,152.899994,5546000
2018-09-20,153.289993,156.070007,151.649994,155.500000,155.500000,4655600
2018-09-21,157.070007,157.960007,154.960007,155.520004,155.520004,17991600
2018-09-24,155.380005,158.910004,153.330002,158.779999,158.779999,5082100
2018-09-25,159.000000,159.139999,157.169998,158.869995,158.869995,5699600
2018-09-26,159.059998,159.929993,157.350006,158.330002,158.330002,4079700
2018-09-27,159.050003,161.080002,158.929993,160.429993,160.429993,3930300
2018-09-28,160.000000,160.860001,158.940002,159.029999,159.029999,4607700
2018-10-01,160.110001,161.190002,159.020004,159.860001,159.860001,4297600
2018-10-02,159.270004,159.580002,156.699997,157.259995,157.259995,4137000
2018-10-03,158.559998,159.759995,157.020004,159.100006,159.100006,3561600
2018-10-04,158.199997,158.839996,153.779999,154.899994,154.899994,6206400
2018-10-05,154.860001,156.600006,152.470001,155.070007,155.070007,4963600
2018-10-08,154.240005,154.619995,145.600006,148.649994,148.649994,10238700
2018-10-09,148.320007,150.869995,147.210007,148.500000,148.500000,5593300
2018-10-10,147.520004,147.589996,137.539993,137.809998,137.809998,13660600
2018-10-11,137.440002,142.160004,136.449997,139.240005,139.240005,10499300
2018-10-12,145.770004,148.750000,143.220001,146.740005,146.740005,9371700
2018-10-15,146.699997,146.699997,141.320007,141.949997,141.949997,6040800
2018-10-16,145.470001,147.910004,144.009995,147.440002,147.440002,5383100
2018-10-17,148.350006,148.350006,145.419998,147.009995,147.009995,3377900
2018-10-18,146.089996,147.589996,141.429993,142.839996,142.839996,5338200
2018-10-19,143.610001,145.369995,140.380005,140.490005,140.490005,5141600
2018-10-22,141.699997,143.800003,139.199997,142.949997,142.949997,4234900
2018-10-23,139.320007,141.970001,137.779999,140.660004,140.660004,6462000
2018-10-24,141.229996,141.500000,133.000000,133.259995,133.259995,7251500
2018-10-25,133.690002,141.690002,133.669998,140.800003,140.800003,7792900
2018-10-26,135.750000,139.210007,132.610001,135.520004,135.520004,7457000
2018-10-29,138.100006,139.550003,128.529999,130.990005,130.990005,9212500
2018-10-30,130.440002,132.990005,128.029999,132.169998,132.169998,10037900
2018-10-31,134.919998,138.710007,134.770004,137.240005,137.240005,6666400
2018-11-01,138.399994,139.800003,136.410004,139.589996,139.589996,4668800
2018-11-02,140.139999,140.550003,136.100006,136.789993,136.789993,4481400
2018-11-05,137.339996,137.339996,133.460007,135.440002,135.440002,4629900
2018-11-06,135.399994,138.000000,132.979996,133.949997,133.949997,4667100
2018-11-07,136.850006,142.309998,136.429993,141.789993,141.789993,5804000
2018-11-08,143.220001,143.630005,140.679993,141.869995,141.869995,3986700
2018-11-09,141.059998,141.059998,135.050003,136.919998,136.919998,5252500
2018-11-12,135.740005,136.660004,130.080002,130.500000,130.500000,7571200
2018-11-13,131.479996,133.770004,128.949997,132.160004,132.160004,6176300
2018-11-14,134.210007,134.940002,128.580002,129.350006,129.350006,5729600
2018-11-15,129.199997,132.949997,126.300003,132.490005,132.490005,6468700
2018-11-16,131.850006,133.470001,130.080002,132.550003,132.550003,5126900
2018-11-19,131.600006,132.259995,120.419998,121.010002,121.010002,14284700
2018-11-20,114.330002,124.940002,113.599998,120.669998,120.669998,13829500
2018-11-21,124.199997,125.750000,121.610001,123.589996,123.589996,7311300
2018-11-23,121.330002,123.709999,120.709999,122.029999,122.029999,3009600
2018-11-26,124.480003,126.949997,123.660004,126.410004,126.410004,9321200
2018-11-27,125.150002,127.610001,123.720001,127.540001,127.540001,10558800
2018-11-28,138.479996,140.889999,131.970001,140.639999,140.639999,25705400
2018-11-29,139.850006,142.880005,139.270004,139.720001,139.720001,7763000
2018-11-30,138.889999,143.220001,138.279999,142.759995,142.759995,9401400
