Date,Close
9/1/2017 16:00:00,46.87
9/5/2017 16:00:00,46.42
9/6/2017 16:00:00,46.39
9/7/2017 16:00:00,46.8
9/8/2017 16:00:00,46.33
9/11/2017 16:00:00,46.45
9/12/2017 16:00:00,46.6
9/13/2017 16:00:00,46.75
9/14/2017 16:00:00,46.26
9/15/2017 16:00:00,46.01
9/18/2017 16:00:00,45.75
9/19/2017 16:00:00,46.09
9/20/2017 16:00:00,46.58
9/21/2017 16:00:00,46.62
9/22/2017 16:00:00,46.43
9/25/2017 16:00:00,46.05
9/26/2017 16:00:00,46.24
9/27/2017 16:00:00,47.22
9/28/2017 16:00:00,47.48
9/29/2017 16:00:00,47.96
10/2/2017 16:00:00,47.66
10/3/2017 16:00:00,47.89
10/4/2017 16:00:00,47.58
10/5/2017 16:00:00,48.5
10/6/2017 16:00:00,48.94
10/9/2017 16:00:00,48.85
10/10/2017 16:00:00,48.63
10/11/2017 16:00:00,49.46
10/12/2017 16:00:00,49.39
10/13/2017 16:00:00,49.48
10/16/2017 16:00:00,49.6
10/17/2017 16:00:00,49.61
10/18/2017 16:00:00,49.64
10/19/2017 16:00:00,49.22
10/20/2017 16:00:00,49.41
10/23/2017 16:00:00,48.42
10/24/2017 16:00:00,48.53
10/25/2017 16:00:00,48.67
10/26/2017 16:00:00,48.63
10/27/2017 16:00:00,50.96
10/30/2017 16:00:00,50.86
10/31/2017 16:00:00,50.83
11/1/2017 16:00:00,51.28
11/2/2017 16:00:00,51.28
11/3/2017 16:00:00,51.62
11/6/2017 16:00:00,51.3
11/7/2017 16:00:00,51.67
11/8/2017 16:00:00,51.99
11/9/2017 16:00:00,51.56
11/10/2017 16:00:00,51.4
11/13/2017 16:00:00,51.29
11/14/2017 16:00:00,51.3
11/15/2017 16:00:00,51.05
11/16/2017 16:00:00,51.63
11/17/2017 16:00:00,50.95
11/20/2017 16:00:00,50.92
11/21/2017 16:00:00,51.72
11/22/2017 16:00:00,51.8
11/24/2017 13:00:00,52.03
11/27/2017 16:00:00,52.71
11/28/2017 16:00:00,52.37
11/29/2017 16:00:00,51.08
11/30/2017 16:00:00,51.07
12/1/2017 16:00:00,50.51
12/4/2017 16:00:00,49.93
12/5/2017 16:00:00,50.26
12/6/2017 16:00:00,50.92
12/7/2017 16:00:00,51.55
12/8/2017 16:00:00,51.85
12/11/2017 16:00:00,52.06
12/12/2017 16:00:00,52.02
12/13/2017 16:00:00,52.03
12/14/2017 16:00:00,52.46
