Date,Close
9/1/2017 16:00:00,23.69
9/5/2017 16:00:00,23.31
9/6/2017 16:00:00,22.97
9/7/2017 16:00:00,23.37
9/8/2017 16:00:00,22.89
9/11/2017 16:00:00,24.25
9/12/2017 16:00:00,24.18
9/13/2017 16:00:00,24.42
9/14/2017 16:00:00,25.18
9/15/2017 16:00:00,25.32
9/18/2017 16:00:00,25.67
9/19/2017 16:00:00,25.01
9/20/2017 16:00:00,24.93
9/21/2017 16:00:00,24.43
9/22/2017 16:00:00,23.41
9/25/2017 16:00:00,23
9/26/2017 16:00:00,23.02
9/27/2017 16:00:00,22.73
9/28/2017 16:00:00,22.64
9/29/2017 16:00:00,22.74
10/2/2017 16:00:00,22.77
10/3/2017 16:00:00,23.21
10/4/2017 16:00:00,23.67
10/5/2017 16:00:00,23.69
10/6/2017 16:00:00,23.79
10/9/2017 16:00:00,22.86
10/10/2017 16:00:00,23.71
10/11/2017 16:00:00,23.64
10/12/2017 16:00:00,23.71
10/13/2017 16:00:00,23.7
10/16/2017 16:00:00,23.37
10/17/2017 16:00:00,23.72
10/18/2017 16:00:00,23.98
10/19/2017 16:00:00,23.45
10/20/2017 16:00:00,23.01
10/23/2017 16:00:00,22.47
10/24/2017 16:00:00,22.49
10/25/2017 16:00:00,21.72
10/26/2017 16:00:00,21.74
10/27/2017 16:00:00,21.39
10/30/2017 16:00:00,21.34
10/31/2017 16:00:00,22.1
11/1/2017 16:00:00,21.41
11/2/2017 16:00:00,19.95
11/3/2017 16:00:00,20.41
11/6/2017 16:00:00,20.19
11/7/2017 16:00:00,20.4
11/8/2017 16:00:00,20.29
11/9/2017 16:00:00,20.2
11/10/2017 16:00:00,20.2
11/13/2017 16:00:00,21.03
11/14/2017 16:00:00,20.58
11/15/2017 16:00:00,20.75
11/16/2017 16:00:00,20.83
11/17/2017 16:00:00,21
11/20/2017 16:00:00,20.58
11/21/2017 16:00:00,21.19
11/22/2017 16:00:00,20.84
11/24/2017 13:00:00,21.04
11/27/2017 16:00:00,21.12
11/28/2017 16:00:00,21.17
11/29/2017 16:00:00,20.5
11/30/2017 16:00:00,20.59
12/1/2017 16:00:00,20.44
12/4/2017 16:00:00,20.35
12/5/2017 16:00:00,20.25
12/6/2017 16:00:00,20.88
12/7/2017 16:00:00,20.75
12/8/2017 16:00:00,21.01
12/11/2017 16:00:00,21.93
12/12/2017 16:00:00,22.74
12/13/2017 16:00:00,22.6
12/14/2017 16:00:00,22.53
12/15/2017 16:00:00,22.9
12/18/2017 16:00:00,22.59
12/19/2017 16:00:00,22.07
12/20/2017 16:00:00,21.93
12/21/2017 16:00:00,22.11
12/22/2017 16:00:00,21.68
12/26/2017 16:00:00,21.15
12/27/2017 16:00:00,20.78
12/28/2017 16:00:00,21.02
12/29/2017 16:00:00,20.76
1/2/2018 16:00:00,21.37
1/3/2018 16:00:00,21.15
1/4/2018 16:00:00,20.97
1/5/2018 16:00:00,21.11
1/8/2018 16:00:00,22.43
1/9/2018 16:00:00,22.25
1/10/2018 16:00:00,22.32
1/11/2018 16:00:00,22.53
1/12/2018 16:00:00,22.41
1/16/2018 16:00:00,22.67
1/17/2018 16:00:00,23.14
1/18/2018 16:00:00,22.97
1/19/2018 16:00:00,23.33
1/22/2018 16:00:00,23.44
1/23/2018 16:00:00,23.52
1/24/2018 16:00:00,23.06
1/25/2018 16:00:00,22.51
1/26/2018 16:00:00,22.86
1/29/2018 16:00:00,23.3
1/30/2018 16:00:00,23.05
1/31/2018 16:00:00,23.62
2/1/2018 16:00:00,23.28
2/2/2018 16:00:00,22.92
2/5/2018 16:00:00,22.21
2/6/2018 16:00:00,22.26
2/7/2018 16:00:00,23
2/8/2018 16:00:00,21.02
2/9/2018 16:00:00,20.69
2/12/2018 16:00:00,21.05
2/13/2018 16:00:00,21.58
2/14/2018 16:00:00,21.49
2/15/2018 16:00:00,22.27
2/16/2018 16:00:00,22.37
2/20/2018 16:00:00,22.32
