Date,Open,High,Low,Close,Adj Close,Volume
10/20/2022,126.25,128.960007,125.150002,128.300003,123.56498,13623100
10/21/2022,128.389999,130.850006,127.589996,129.899994,125.105927,7201300
10/24/2022,130.899994,133.110001,129.850006,132.690002,127.792961,5610900
10/25/2022,132,133.300003,131.300003,132.929993,128.024094,5957600
10/26/2022,133.720001,135.860001,132.809998,135.009995,130.027344,5139000
10/27/2022,135.550003,136.399994,134.449997,134.770004,129.796204,3993200
10/28/2022,135.559998,138.860001,135.220001,138.509995,133.398163,5965500
10/31/2022,138.059998,138.770004,136.600006,138.289993,133.186295,4915300
11/1/2022,138.25,138.649994,136.699997,138.199997,133.099594,3590600
11/2/2022,137.75,140.169998,136.800003,136.830002,131.780167,5360500
11/3/2022,136.419998,136.479996,133.970001,134.470001,129.507263,4442400
11/4/2022,135.649994,137.729996,134.940002,136.960007,131.905365,4178000
11/7/2022,136.639999,138.699997,136.509995,138.339996,133.234436,4043100
11/8/2022,139,140.929993,138.720001,140.039993,134.871704,5042800
11/9/2022,137.949997,138.899994,136.940002,137.389999,133.89711,4720000
11/10/2022,140.259995,141.369995,138.289993,141.229996,137.639496,5389000
11/11/2022,141.5,144.130005,140.960007,143.169998,139.530182,5871300
11/14/2022,142.630005,146.080002,142.179993,144.199997,140.533997,5293500
11/15/2022,144.080002,146.160004,142,144.339996,140.670441,4727100
11/16/2022,144.130005,144.949997,144.009995,144.520004,140.845856,3445200
11/17/2022,143.410004,146.179993,143.25,146.089996,142.375946,3954000
11/18/2022,146.559998,148.309998,145.940002,147.639999,143.886536,4661700
11/21/2022,147.550003,147.929993,146.449997,146.679993,142.950943,3476200
11/22/2022,147.600006,149.350006,147.020004,149.100006,145.309418,7062100
11/23/2022,149.100006,150.460007,148.300003,148.75,144.968323,3658200
11/25/2022,148.270004,149.490005,148.100006,148.369995,144.597977,2075200
11/28/2022,147.979996,148.240005,145.940002,146.179993,142.463638,3538100
11/29/2022,145.910004,147.169998,145.699997,146.490005,142.765778,2754700
11/30/2022,146.190002,149.639999,145.669998,148.899994,145.114487,6377600
12/1/2022,149.979996,150.009995,147.339996,149.160004,145.367905,4495900
12/2/2022,148.130005,149.160004,147.729996,148.669998,144.89035,2900000
12/5/2022,147.940002,148.929993,146.800003,147.410004,143.662384,2784600
12/6/2022,147.300003,147.800003,146.699997,147.5,143.750107,2847600
12/7/2022,147.330002,148.100006,146.289993,147.270004,143.525955,3971300
12/8/2022,147.899994,149.149994,147.369995,147.779999,144.02298,2665700
12/9/2022,147.399994,148.339996,146.970001,147.050003,143.311554,3047600
12/12/2022,147.820007,149.210007,146.940002,149.210007,145.416626,4032800
12/13/2022,150.369995,153.210007,149.949997,150.570007,146.74205,8811500
12/14/2022,150.470001,151.910004,148.449997,149.860001,146.050095,4205900
12/15/2022,148.520004,148.979996,141.580002,142.360001,138.740768,6687000
12/16/2022,141.25,141.919998,138.970001,140.160004,136.59671,9834400
12/19/2022,140.160004,140.440002,137.199997,138.869995,135.339493,5282900
12/20/2022,138.839996,141.429993,138.339996,141.279999,137.688232,5156500
12/21/2022,141.839996,143.089996,140.979996,142.139999,138.526367,3793700
12/22/2022,140.949997,141.440002,138.619995,140.880005,137.298401,3337100
12/23/2022,140.589996,141.860001,139.600006,141.649994,138.048813,2092500
12/27/2022,141.729996,142.720001,141.229996,142.419998,138.79924,2742400
12/28/2022,142.399994,142.809998,139.949997,140.020004,136.460266,2539500
12/29/2022,140.580002,142.259995,140.449997,141.059998,137.473816,2337200
12/30/2022,140.539993,140.899994,139.449997,140.889999,137.308136,2858000
1/3/2023,141.100006,141.899994,140.479996,141.550003,137.95137,3338600
1/4/2023,142.070007,143.619995,141.369995,142.600006,138.97467,3869200
1/5/2023,142.440002,142.5,140.009995,141.110001,137.522552,2866600
1/6/2023,142.380005,144.25,141.580002,143.699997,140.046707,3574000
1/9/2023,144.080002,145.470001,143.399994,143.550003,139.900528,3987700
1/10/2023,143.610001,144.850006,142.899994,144.800003,141.118744,2152100
1/11/2023,145,145.529999,143.449997,145.259995,141.567032,3268700
